title,url,time_added,cursor,tags,status
Great Works in Programming Languages,https://www.cis.upenn.edu/~bcpierce/courses/670Fall04/GreatWorksInPL.shtml,1632873545,3405555310,papers,unread
Easy Permutations and Combinations – BetterExplained,https://betterexplained.com/articles/easy-permutations-and-combinations/,1478992263,3405555316,tutorials,archive
A Haskell regular expression tutorial | teideal glic deisbhéalach,http://www.serpentine.com/blog/2007/02/27/a-haskell-regular-expression-tutorial/,1666617929,3405555319,tutorials,unread
Understanding Exponents (Why does 0^0 = 1?) – BetterExplained,https://betterexplained.com/articles/understanding-exponents-why-does-00-1/,1485945040,3405555320,tutorials,archive
Why OO Sucks by Joe Armstrong,http://harmful.cat-v.org/software/OO_programming/why_oo_sucks,1639737033,3405555322,,archive
How To Understand Combinations Using Multiplication – BetterExplained,https://betterexplained.com/articles/how-to-understand-combinations-using-multiplication/,1478992305,3405555324,tutorials,archive
Precision and recall - Wikipedia,https://en.wikipedia.org/wiki/Precision_and_recall,1677243070,3405555330,faq,unread
gt.geometric topology - Intuitive crutches for higher dimensional thinking,https://mathoverflow.net/questions/25983/intuitive-crutches-for-higher-dimensional-thinking,1548544906,3405555337,faq,unread
Is there a way to simulate the C   'friend' concept in Java? - Stack Overfl,https://stackoverflow.com/questions/182278/is-there-a-way-to-simulate-the-c-friend-concept-in-java,1565253408,3405555339,faq,archive
The CRAPL: An academic-strength open source license,https://matt.might.net/articles/crapl/,1708000195,3405555340,,unread
A case against syntax highlighting,http://www.linusakesson.net/programming/syntaxhighlighting/,1674505552,3405555343,,archive
Beamer-appearance-cheat-sheet.pdf,https://www.cpt.univ-mrs.fr/~masson/latex/Beamer-appearance-cheat-sheet.pdf,1683883895,3405555379,faq,unread
Lexcavator: A videogame for people who dig words,https://www.lexcavator.com/,1691172763,3405555391,games,unread
Remove folder and its contents from git/GitHub's history - Stack Overflow,https://stackoverflow.com/questions/10067848/remove-folder-and-its-contents-from-git-githubs-history,1673652202,3405555394,faq,unread
http://www.bbc.com/news/technology-18419231,http://www.bbc.com/news/technology-18419231,1461544964,3405555397,,archive
Markdown Cheatsheet · adam-p/markdown-here Wiki,https://github.com/adam-p/markdown-here/wiki/Markdown-Cheatsheet,1681429670,3405555400,faq,unread
http://xahlee.info/comp/oop.html,http://xahlee.info/comp/oop.html,1578004468,3405555401,,archive
http://callbackhell.com/,http://callbackhell.com/,1565253408,3405555402,,archive
Design Overview,https://docs.oracle.com/javase/1.5.0/docs/guide/jni/spec/design.html,1632833397,3405555406,faq,archive
aRTD - A Redtail's Dream - webcomic,http://www.minnasundberg.fi/comicindex.php,1670031673,3405555410,comics,unread
Uno on Vimeo,https://vimeo.com/1086078,1668035734,3405555421,watchlist,unread
Literacy Privilege: How I Learned to Check Mine Instead of Making Fun of Pe,https://paintingthegreyarea.wordpress.com/2012/11/26/literacy-privilege/,1691092690,3405555428,,unread
This Is Not a Film - Wikipedia,https://en.wikipedia.org/wiki/This_Is_Not_a_Film,1677112444,3405555430,watchlist,unread
https://betterexplained.com/articles/an-interactive-guide-to-the-fourier-transform/,https://betterexplained.com/articles/an-interactive-guide-to-the-fourier-transform/,1476049025,3405555432,explorables|tutorials,unread
